text,sentiment
🔥🔥🔥,positive
Umpan-umpan visioner Justin Hubner 🔥,positive
"Mesti lini belakang nggak fokus. Mesti lini belakang hilang fokus, ya Rabb 😢",negative
@ilan.alkatiri sip bang. Gua follow,neutral
@liverpoolgariskeras.lgk Coba aja Shayne jadi suaminya Azizah,neutral
🔥🔥🔥🔥🔥🔥,positive
"Alhamdulillah, selamat pak Erick semoga pemain bisa bermain lebih baik lagi melawan tim Australia",positive
Satu tembakan saja!,neutral
baller🇲🇨🔝💪,positive
Lah ya bnrr udh kalah trs mau diapain??😂😂 Aneh lu mndng fokus pertandingan berikutnya fens goblok...,negative
Ada masalah apa sih kawan,neutral
🙌👏,positive
@manchesterunited tolong rekrut Ernando Ari.,neutral
Indonesia Bisa🙌❤️🤍,positive
🔥💪💪,positive
"@markjiz saat baca reply, ternyata banyak yg ga nyambung. Padahal maksud TS mengarah ke Bom Atom 😂",neutral
Jepang suruh surend,negative
@simsonmarada orang Vietnam pasti ini fix,neutral
🔥🔥🔥,positive
@justinhubner5 @sandywalsh ❤️❤️,positive
"MENANG ATAU KALAH, NEGARA INI SUDAH MENCETAK SEJARAH",positive
Nh lh momen bangkit Garuda di dadaku ❤️❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥🔥🔥🔥,positive
Ya Allah 🥰🥰🥰🥰 Alhamdulillah Alhamdulillah 😭😭😭😭,positive
@nna_zul91 Takut dihujat sama fansnya,neutral
Tetap bangga! 🔥🔥🔥🔥 Terima kasih! 🦅🙌🏽,positive
ComeOnGaruda🔥,positive
🔥🔥,positive
👏👏👏👏👏,positive
"Selmat indonesia menang, permainan masih buruk. Harusnya bisa tambah goal satu.. pemain masih egoisnya tinggi.",negative
@tiaramarcel24 ngulur waktu juga tambahannya sampai 10 menit,neutral
@khada___ jangaan lupa ingetin 😂,neutral
"Pak Jokowi Kasih Pemain Kyrgistan liburan gratis ke Bali pak🔥🔥 Alhamdulillah ya Allah , Antara sedih, senang dan bangga jadi campur aduk .. Keep Focus Buat Pemain Timnas 🔥 Congrats Sekali lagi buat pasukan Garuda . GARUDA BUKAN BURUNG PERKUTUT🔥🔥",positive
Awak yakin indonesia menang 2-0 malam ini 🔥,positive
@sultanmufthialfaruqi jangan suka asbun ah lu,negative
🔥🔥🔥🔥🙌,neutral
Ayo! 🙌,neutral
@matchaa_lattee baikla🔥,positive
🔥,positive
🔥🔥👏,positive
🔥,positive
"Kenapa slot cadangannya diisi full 2 kiper, masih ada pemain lain kan padahal?",negative
Kpn main lgi nih,neutral
CONGRATS GARUDAAA🦅🔥 ALHAMDULILLAH 😭🤍,positive
"@ramdansobarna Lo tidak mengkritik, bro. Lo itu menghujat! Timnas rank 142 vs Jepang 17, lo ekspektasinya terlalu tinggi. Bukannya support malah menjatuhkan.",negative
Terima kasih para pemain dan official dan tentunya pelatih....👏👏,positive
"Apa apa an nih, ga sesuai target imbang sama Iraq, menang lawan Vietnam, kalah lawan Jepang. Evaluasi pak, STY stay👏👏👏",positive
@kritiksty bacot Mulu tai nikmatin dulu aja prosesnya mau instan terus makan aja Indomie,negative
"Halo Mitoma, Doan, Minamino, takut yaaaa😂",neutral
Okeee ndo 🔥,positive
@adipur_58 komen pertama min,neutral
"Hokky kenapa, Hokky? 😩",neutral
"@sp_hendri_28 akun fake, bacot lo anjing",negative
"Kiper buat sial.. jelek kali penjaga gawangnya.. apa tidak ada kiper lain di timnas? Kecewa lihat gaya main kiper, buat down pemain, itu kiper (Komentar kasar, dihapus)",negative
"Yuk percaya diri. Kalian harus ingat, Argentina aja top global 1 kalian kasih 2-0 doang. Sekarang lawan Jepang minimal seri, yuk bisa!",positive
"@alfinedo.aee wkwk,kalo jepang ga masukin kita menang",neutral
Bismillah🇮🇩😇,positive
"@dennyrmadhan_ tahu tuh orang yang bilang STY out, dia pikir ngebentuk tim gak butuh proses. Gak pakai polo yang bilang gitu",negative
👏,positive
"serius gw nanya nih , kenapa komentator nya harus pake indo , kenapa ga pake official langsung dari AFC cup nya , kemarin gw coba nonton di Vision+ banyak iklan dan suka ngeleg , dan komentator nya indo, berasa nonton AFF , akhir nya babak ke 2 gw nonton di situs judi , hasil jernih , ga ngeleg , dan berasa nonton pildun dengan komentator official wkwkwk",neutral
❤️‍🔥,positive
"@nayyllaprdnya sama kek temen lu yang debat ngelantur, masa mau kritik disuruh jadi pemain bola dulu😂",neutral
🔥🔥🔥,positive
hoki taunan nadeo,neutral
@s.pattynama 🔥🔥🔥,positive
Let's go! apapun hasilnya,positive
Vamoosss🙌❤️,positive
👏🔥🔥🔥🔥🔥🔥,positive
"@cllvers jepang team terkuat saja masih berproses, klau dia kuat juga sudah juara piala dunia... Lawakk... 😂",neutral
"👏👏👏❤️❤️❤️ Semangat terus, Garudaku!",positive
Jantung gak aman 😢 1‐0,negative
@suwonfc matur suwon,neutral
SEMANGAT SAYANG!!!❤️🇮🇩😍🔥,positive
"@evhandimas kembalikan capt Evan Dimas , untuk lini tengah yg lebih baik @shintaeyong7777",positive
Spesialnya witan apa coach aduhhh 🥲,negative
"@firmaan.f mainnya nggak jelek tapi dia kewalahan, nggak sesuai dengan skema Timnas. Biasanya serangan kita di 2 laga terakhir dari sisi kiri, tapi di laga tadi kiri kita sekali doang sisanya kanan",neutral
Semangat timnas Indonesia❤️❤️,positive
@ammai55_ dm bro gua kirimin lu link tapi komentatornya arab,neutral
@rizaru_yoshi emang ada Irak? Emang ada Jepang? 😂😂😂😂,neutral
"@ngsunglie sumber duit keuangan PSSI itu dari hak siar FIFA dan dari sponsor. Kalau uang rakyat itu seperti politik partai, itu duit rakyat. Goblok banget.",negative
"Yeyeye, akhirnya Timnas Indonesia bisa menang! Yeye!",positive
Akhirnya pattynama starting @s.pattynama 🔥🔥🔥🔥,positive
🔥,neutral
"@ramzar87 ini belum ada tom haye, jay idzes, nathan tjoe dan ragnar, marten paes entah bgmana nasib vietnam bulan maret nanti",neutral
"Jadiin sandy starter dong, bukan jadi camat di bench",negative
Letsgooooooo! BANTAI JEPANG ❤️❤️❤️,positive
🔥,neutral
@shin_jaewon77 FR 😂🇮🇩,neutral
Menterrr,neutral
"@donii_stwan kaga bakal, mental mereka turun pas indonesia masukin gol",neutral
🔥👏,neutral
Mamat blunder mulu,negative
🔥🔥👏,positive
@bungtowel8 sumpah ini orang sakit apa gila sih🤣 @bungtowel8,negative
🦅🦅🔥,neutral
Harapan aja gak cukup buat timnas lebih baik dan maju!,neutral
Yok point 3,positive
Ya Allah berilah kemenangan untuk timnas ku,positive
🔥🔥,positive
"susah euy krygystan match ke 2 2X kena kartu merah, otomatis squadnya pincang bang, felling sih oman ez win",neutral
Asnawi kok makin lama makin tolol ya,negative
Arhan 😍,positive
🔥🔥 Asnawi ❤️,positive
Hahahahah kalah,neutral
"Bismillah, Indonesia gas!",positive
@s.pattynama,neutral
"@githa_ketty lolos dong, makanya optimis jangan kebanyakan gaya😂",positive
👏👏👏👏,positive
"@mukhlis.khan_ Tinggal nonton sama doain, nggak usah banyak bacot, Bos.",negative
Apakah Elkan sama Ridho cidera? Ada yang bisa menjelaskan?,neutral
@wildannzs_ 🔥🔥🔥,neutral
Info skor dong,neutral
"Tolong, Pak Erick Thohir, perpanjang kontrak Coach STY.",positive
PERTAHANKAN STY..... #stystay 🔥🔥🔥🔥,positive
"@arif.rif27 yang gue bahas di sini bukan kemenangan tapi permainan. Kan gue bilang tim tarkam, paham dong? 😂",negative
@muhammdrfandi iya kayaknya Adam menunjukkan bahwa dia masih pantas...,neutral
"GWS @syahrulfadil26 , speedy recovery 🤲🙏❤️",positive
Yakin.!! 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,positive
😝🔥,positive
🔥,positive
@andhikawsaputra_ percuma gabung juga bakal dicadangin 😂,negative
"Sandy: Bodo amat, yang pasti Asnawi starter 😂",neutral
Sandy wals ngapain sih dipaksa jadi bek 🙄 Sananta juga gk ada dibangku cadangan hadeh...,negative
@prettygek.vy Jawa apa si nyet,negative
"@cio.konten sandy laku diluar negeri alias eropa, asnawi cuma bisa diliga liga 2 korea, udah beda kelas lah",negative
wes mboh lah kno awuren😢,neutral
Keep fighting 🔥,positive
Yuhuuuuu huhuyyy. ALHAMDULILLAH 🙏🏼,positive
WHY EGY yg main? 😢,negative
@valldyadha Aamiin,positive
"Bismillah, semoga mendapatkan hasil yang maksimal. Semangat berjuang, Garudaku! 🔥🙌",positive
Wkwkkw Edo ??,neutral
"One shoot one goal,,,ngerii ngeri",positive
Shayneee 😍❤️❤️❤️❤️,positive
Tercium bau lord dendy bakalan main ini,neutral
🔥🔥🔥,positive
BABLASKE🫵🏼🔥🔥,positive
"Nguyen 3 poin gak jadi lolos, cuk hahaha",negative
hello @japanfootballassociation,neutral
Butuh dua kosong dan kemenangan kedua kalinya di Piala Asia untuk melawan nomor satu 🫷 di Asia. Semoga menang di 2024 🙌🙌,positive
🔥👏,neutral
@opekza_ Nguyen jancok 🗿🗿🗿,negative
Siara dimana yaaa kalau lewat hp,neutral
@bayu.adt tooo,neutral
Pak tambah pemain depan pak...,neutral
"Sty stay pak yaaaa,,, masyarakat sayang sty",positive
VAMOSS INDONESIA 😭 16 besar buktikan kita bisa,positive
Menang 1-0,positive
@rajaterakhirr___ tadi malam keren & solid. Tapi yg match kemaren b aja,neutral
🔥🔥,positive
Menang lawan Jepang: 24 Januari akan dijadikan libur nasional 🔥🔥,neutral
Yuk final ketemu Thailand 😍,positive
"ALHAMDULILLAH 😭, @erickthohir perpanjang kontrak @shintaeyong7777 🙏",positive
🔥,neutral
@wibisonowp sido ganti ora ki,neutral
"Entah karena lawannya sesama asean atau gmn, tapi permainan malam ini ok banget, enak dilihatnya. 🔥",positive
"Definisi kalah tidak bisa tidur, menang tambah tidak bisa tidur. 😅🤩",neutral
Marsel planga plongo aja ganti ajala,negative
@evan.alifia 4-0. 😭,negative
"Cepat banget update-nya, Min! ❤️",neutral
Gimana kondisi kapten kita? @timnas.indonesia @jordiamat5 😢,neutral
"@haris_rizki ada leg 2 kualifikasi Piala Dunia, main di GBK.",neutral
Kalian hebat!,positive
patynama cedera kah 😂,neutral
Formasi lawan Jepang 6-3-1,neutral
🔥🔥,neutral
"@irfanrahmad52 ya kagak lah, kalo mau masuk pildun ya lewat kualifikasi ato gak tuan rumah",neutral
Optimisasi 🔥🔥🔥,positive
@huseintanjung__ bacot luu,negative
"Duh, kalau menang dipuji-puji jadi fans. Kalau kalah, sok mengkritik seperti pundit.",negative
"@kaaaszhh, cadangan. 😂",neutral
🔥🔥,neutral
5-0,neutral
@valentinoandreww mantep anjeng cuma rada bingung doang die,neutral
Timnas butuh kesebelasan pemain keturunan grade A seperti @sandywalsh maka Jepang pun bisa diimbangi. Ditunggu kehadirannya Mas @thomhaye @0ratmangoen @kevindiks2 @maartenpaes 🇮🇩🔥,positive
Yang setuju egi dikunciin di kamar mandi hotel qatar sini kumpul 🙌🏻,negative
Tetap semangat tim 🔥👏,positive
😍😍😍,positive
"Lawan Jepang, coba deh @rctiplusofficial @rctisports kasih komentator Inggris, biar serasa nonton Piala Dunia… biar gak serasa nonton Liga 1 😢",neutral
Hokky suruh jadi PNS lagi aja,negative
@frtnnx orang-orang seperti Anda yang menghancurkan mental orang lain,negative
🔥🔥,neutral
"Secara permainan, Indonesia udah enak ditonton, berani pegang bola, bisa nyiptain beberapa peluang yang bagus. Sayang banget selalu kebobolan dengan gol-gol yang harusnya bisa lebih diantisipasi. Syukur syukur bisa menang. Aminnnn",positive
🔥🔥🔥👏👏,positive
🔥🔥,positive
Hokky sama Adam Alis AFK.,neutral
Nando keren! Semoga lawan Jepang bisa menang lagi. Semangat Garuda!,positive
"@andikarobennn16 ngotot??? Dikasih umpan sama sayuri dh bagus malah muter balik😂,masih ada kawan ngeshot ke arah g jelas😂😂",negative
"@renaldoredo Hokky juga masih muda, kasih kesempatan main",neutral
🔥🔥,positive
Alhamdulillah,positive
@ker_tasminyak kalau Saddil banyak gocek,neutral
Setuju,neutral
Egy hanya merusak permainan.,negative
🔥,positive
Huh adem panas 🔥,neutral
👏👏,positive
@sriwijayafc.id mambu cuko budak ini,negative
Yuhuuu,neutral
"Ayo, Indonesia! Semangat! 🔥🔥🇲🇨",positive
✨💞,positive
@vinabianc bener goblok,negative
"@erickthohir STY sudah menepati pak, wajib perpanjang 👏",positive
😍😍,positive
Sananta cuma jadi pajangan coch mending jngn di bawa,negative
On fire ndoooo🔥🔥🔥,positive
SEMUA PEMAIN LUAR BIASA. SANDY WALSH PEMBEDA DI LINI BELAKANG,positive
Info channel YouTube yang nayangin? Di TV gak ada RCTI soalnya.,neutral
Bisa! 🔥🔥🔥,positive
Si Nabil Husein pasti senang 🗿,neutral
Sty stay sampe 2030🔥🔥🔥🔥,positive
👏,positive
@simsonmarada setan,negative
👏👏👏👏,positive
🔥🔥,positive
"formasi yang buat kalah ini, banyakin bek 😂",negative
@guhpras ikeeeh,neutral
@tetapyosua coba suruh ngelatih dia..😂,neutral
Gk,neutral
Sesuai dgn tebakan..okey sing penting wani berdarah2.,neutral
Ini starting yg ditunggu2...,positive
Live di mana?,neutral
@rfernando_ Mending Hokky daripada Dendi. Bahkan sebenarnya Ramadhan Sananta lebih bagus. Lord laga malam tadi yaitu @egymaulanavikri.,neutral
Skuadnya terlihat punya aura optimis nih 🤩🔥,positive
"@diegomichiels24 dipanggil timnas juga bang, kan?",neutral
@khrsky_ padahal bukan posisi aslinya,negative
"Fokus QWC Irak, Filipina, Vietnam🔥bissmillah bisa raih hasil positif❤️❤️",positive
🔥🔥👏👏,positive
Keren🔥🔥🔥🔥😎,positive
👏👏👏,positive
Agendakan friendly match dengan @kyrgyzkurama,neutral
Garuda! 🇮🇩🔥,positive
Goog,neutral
@sir.aldoromadhona awas diculik😂,neutral
@liputanbola.timnas jangan lupa sama Justin Hubner,neutral
@rafs.ch no.16 looking familiar 👀,neutral
"@arifhii_ butuh komen""yg kek gini bang, bener""tahu tentang proses, bukan komen""suporter karbitan yang gak paham bola maunya langsung instan,",positive
@sp_hendri_28 Cari follower.,neutral
Proud of you🔥❤️,positive
@riaprsklla kasih paham om,neutral
"Usaha sudah maksimal! Tidak ada yang harus out, kecuali @bungtowel8",negative
@wisnu.alvaroo itu offside harusnya,neutral
"Babak pertama saya senang melihat cara main timnas, kalaupun kalah tidak apa-apa. Mainnya rapi, squad ini kalau dipertahankan bakal jadi ancaman baru di Asia dan dunia. Semoga @pssi konsisten menjaga sistem yang sudah terbentuk dan makin menyempurnakan lagi 👏👏👏🔥🔥🔥🔥🔥",positive
"Yg kecewa silahkan menepi, fans sejati tak akan pergi",positive
@adinugroho_st Bajirud 😂,neutral
@suwonfc nggh sami-sami,neutral
Losss🔥,neutral
Indonesia pulangin Jepang untuk kedua kalinya,positive
Bisa yo🔥❤️🇮🇩,positive
Gol lagi😢,negative
@muhmmdfqh_ minimal draw lawan jepang ada harapan besar lolos sebagai peringkat 3 terbaik,neutral
"Visi misi pak STY masukin Hoky sama Adam Alis apasih,, ???? BLOOKKK",negative
🔥,positive
"@footballterror_indo King Indo mau menyusul sahabatnya dulu, Vietnam sama Malaysia. 😂",neutral
🔥,positive
"Kalian lihat di Wikipedia klasemen sementara peringkat 3 terbaik, Indonesia masih belum diberi tanda (E) atau eliminated (tersingkir), artinya Indonesia masih bisa diberi tanda (A) = advanced to knockout stage, lolos ke babak knockout 16 besar. Mari berdoa dan berharap 😂",neutral
Bisa-bisanya tim sekelas Jepang dikasih voucher penalti. 😫,negative
@sidoel_gori pelatih malah begitu 😂,negative
"Witan, Egy, Hokky mainnya di Liga Pegadaian aja 😂😂",negative
@ervnsy 0-5,neutral
🔥🔥🔥🔥🔥🔥🔥🔥🔥,positive
"Menang disanjung, kalah ya dikritik. Bukan bully, tapi yang membangun 🫶",positive
🔥🔥🔥,positive
🔥🔥,neutral
"Egy pemain sepakbola yang lambat ngambil keputusan, mending kagak usah dimainin",negative
KEREN BANGET SUMPAH MAINNYA INDONESIA,positive
wkwkwkwk babak2 longball fc,neutral
proud of you guyss❤️‍🔥,positive
👏👏👏👏👏👏👏👏👏,positive
Go Timnas go Timnas go🔥🔥🔥🔥,positive
👏👏👏🔥,positive
@rmdzan.fquji yang minta pelatih out dan ngehujat pemain emang gak ngotak,negative
"MAIN DENGAN FIGHTING SPIRIT YG ALL OUT, BAYANGKAN SETIAP GAME ITU HAL YG PALING BERHARGA DI HIDUP KALIAN !",positive
Ciri-ciri orang yang cuma bisa ngasih cermin ke orang lain tapi lupa nggak bercermin untuk dirinya sendiri. Lu pindah negara aja sana! Ngapain masih di Indonesia kalau atlet di negara sendiri aja lu hujat?,negative
Kiper ngapain Bawak banyak sty sayang,negative
👏👏,neutral
🔥🔥🔥,neutral
PEMBENCI MULAI PADA KELUAR DARI GOA👏,neutral
udah boleh #styout belum nih?,negative
"@shugauw_jylo123 gass poll, sorry yee..jangan sampe gk diperpanjang tuh STY..🔥🔥🔥🔥",positive
@milleyy.00 setuju si tolong min @timnas.indonesia Yakob dipertahankan di posisi wing,neutral
Semangat Garuda 🔥,positive
"Piala Asia dijadiin pengembangan pemain usia muda, salah, bodoh namanya. Itu harusnya dilakukan setelah Piala Asia. Kita butuh pemain matang yang siap...",negative
"Sudah bagus main 4 bek, malah starting line-up-nya ngawur. Terlalu memaksakan Asnawi dan Egy. Good luck, Garuda! 🙌",negative
Sty sampe kiamat pa,neutral
@liga1talk ngasi pinalti buat jepang tai,negative
Alhamdulillah Indonesia 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,positive
Udh gembira 1-1 malah kebobolan lagi tambahan waktunya lama bangat.,negative
Terimakasih RCTI baik bgt loh tayangin jepang latihan,neutral
@emha_yusof lawak lu?,neutral
Uwowowowowowooe😍❤️,positive
Live dimana si,neutral
🔥🔥,positive
Bismillah🤲,positive
Kesalahannya karena pemain emas terlalu buru-buru dimainkan. 😂😂😂 Levelnya beda dengan Sandy. 🔥🔥🔥🔥🔥,negative
Itu yang membuat hidung Jordi berdarah. Yang bilang Indonesia tidak bisa main curang karena ada VAR? 🙃,neutral
Kok gak yakin ya?,negative
Comen on Garuda ku,positive
"Padahal prediksi lineup: Sananta (ST), Drajad (LW), Yakob (RW), Kambuaya (CAM), Alis (CM), Jenner (CDM), Hubner (LB), Amat (CB), Baggott (CB), Asnawi (RB), Ernando (GK).",neutral
Alhamdulillah,positive
STY diganti aja pelatihnya,negative
@v.rnzta Yapss bener banget,positive
"🔥🔥🔥 Indonesia bersiap melawan Jepang. Jepang tak sehebat FIFA Matchday, mereka juga manusia yang bisa capek dan takut. Semangat ya! Curi 3 poin dari Jepang dan selamat datang 16 besar 🔥🔥",positive
KIPER @nandoariiiss gak pernah ngecewain 🔥🔥🔥,positive
🔥🔥🔥,positive
🔥🔥🔥🔥,neutral
"@thogden, fire! 🔥🔥",positive
Ewakoo🔥,neutral
🔥,positive
@teukuwisnu aamiin,positive
🔥,neutral
🔥🔥🔥🔥,positive
Kalah pasti om lwan irak,negative
😂😂😂,neutral
LAWAN JAPAN.JANGAN TAKUT DAN JANGAN MINDER...RAKYAT INDONESIA PERNAH DIJAJAH JAPAN TAPI INDONESIA BISA MELAWAN UNTUK MERAIH KEMERDEKAAN NYA DARI HASIL JERIH PAYAH DAN BERSATU UNTUK KEBANGGAAN TANAH AIR KITA YAITU INDONESIA,positive
🔥🔥🔥🔥,neutral
#stystay,neutral
"@chin_chigga Benar, bang! 🔥🔥",positive
STY Stay pa ! 👏👏,positive
@rahmattaufik_21 pelan pelan aa,neutral
"Fans cuman banyak bacot, pas mau lawan jepang ngata2in mereka, sama juga pas mau lawan australia. Giliran pas dibantai 3-1, 4-0 baru sok-sokan ""garuda udah bermain bagus"". Gw seneng timnas udah bisa sejauh ini, tapi sifat terlalu bangga dari fansnya yg bikin gw malu mau dukung negara sendiri",negative
"@mhmmadfadilah18, terus gimana, Bang? Kok saya tetap tidak bisa?",neutral
@kemal.pra gaskeun pak,neutral
"@siday_98 lu bisa gak jgn bohong,jelas tertutup masih jg lu promo akun. Gua slepet jg lu entr",negative
Yuk bisa yuk 🔥🔥,positive
"@akhmad.ra sewajarnya memuji, tetapi sangat disayangkan STY tidak jeli di dalam memilih starting eleven, bahkan di dalam pergantian pemain STY tidak tepat",negative
Jordi amat msih kebawa maen d liga 1,negative
"@aakomputer, iya, padahal secara pengalaman dan skill, Sandy bermain cukup bagus. Andalan di klub Liga Eropa, bukan Liga Dua. Eh, STY malah lebih mengutamakan pemain Liga Dua di Asia. 😂",negative
😍😍,neutral
Tetap semangaaat garudaku ❤️🔥,positive
come on focus raih 3 poin boys🔥🔥,positive
ngeri ngeri sedap,neutral
Bismillah 3 poin! 😘🔥,positive
🙌🔥,positive
mengharap menang lawan jepang ibarat kata kamboja pengen menang lawan indonesia sekalipun pelatihnya dari jepang.,neutral
@fakihawf amiin yra...ya Allah,positive
Tebak skor 2:1 indonesia win,positive
❤️,positive
"Memang fakta kalau Pattinama tidak berguna di pertandingan ini, 4 gol terjadi dari sisi kiri semua, lucu para pendukung Pattinama",negative
Sty stay !,positive
@r_vidia_s672 disimpen dulu lord dendy nya,neutral
"@renaldoredo adam alis boleh lah mainnya cukup membantu, chokky cokkk??? 😂",neutral
"Minimal belajar tenang pada saat passing ,dan saat di press .......",neutral
"Gak ada kiper yang lebih baik dan tinggi selain ernando ari?????? Bagus sih ernando, tapi masih banyak salah cara membaca bola😂😂",negative
#STYStay,positive
"Nah menurutku ini masalah utama timnas, karena depannya mandul terus jadi gampang kena serangan balik 😌",neutral
"Kita sebetulnya imbang dari goal, 2 goal jepang, 2 goal indo. Hanya saja goal indo 1 salah gawang aja 👏",neutral
Offside tuh gol kedua Irak,neutral
gile starter 7 pemain keturunan mantap,neutral
Marselino bnr² OP 🔥🔥🔥 sampe pemain Vietnam kena kartu merah😂😂😂,positive
@dylanjan_ masuk piala asia sudah prestasi maka layak STY stay,positive
Зйщшыьыж оырырш,neutral
@mhd_adriannouval sotoyy lu caper,negative
berharap debut shayne di AFC😢,neutral
"@adinurariff_ perpanjang mata mu, udah saatnya out, pak erik bisa nyari pelatih yg jauh lebih berkualitas",negative
"@tessyi85 yang ini Asnawi beban istri.. beda nasib kak, bisanya ngeramal sama komen doang.. didukung orang-orang sotoy😂",negative
Mantap! 🔥🔥,positive
"Lawan vietnam yg biasa di serang 7 hari 7 malem, malem ini beda cuk",neutral
#majutakgentar,positive
"STY STAY, PERPANJANG KONTRAK STY 3 TAHUN KEDEPAN, YANG PANAS MANDI ES😂",positive
🔥🔥,positive
"Saddil nggak masuk. Ah gue mah nggak expect ini di Piala Asia, buat tes skuad aja. Soalnya skuadnya belum padu.",neutral
"Minimal juara AFF dulu, dah.",neutral
@nupeill sabar bang sabar dia pengen jadi eksekutor 😂,neutral
"@442indonesia @justinhubner5 Sergio Ramos-nya Indonesia, agak kasar tapi pertahanannya luar biasa!",positive
🔥🔥,positive
@muhammadhamdoni yang benar saja.,neutral
"Min, apakah Jersey full patch Asian Cup sudah tersedia di store? Fans banyak yang nyari, sayang sekali jika event 4 tahunan nggak ada merchandise kenang-kenangan buat fans. Mohon dipertimbangkan. Terima kasih 👍",neutral
@micoooox_ up,neutral
ASNAWI BEBAN TIM DI PIALA ASIA,negative
SPESIAL NEW MEMBER BISA KLAIM 100K DI #GARUDAHOKI,neutral
🔥🔥🔥,positive
@suwonfc admin tau cara menambah followers 😂,neutral
@variz.da yes nomer 11 cadangan dulu,neutral
Jalur langit 🙌,neutral
@faisyalrizqulloh struk lagi struk lagi,negative
MAINNYA BAGUS TERIMA KASIH TIMNAS ❤️,positive
STY OUT!,negative
@muhlissin_donovan95 dan gak udah komen!,neutral
Gimana tanggapan Anda @bungtowel8 ?,neutral
Alhamdulillah❤️🔥,positive
@ghalifmahesa manusia spesies kocak,neutral
"@v.rnzta dia tidak blunder, tapi dia mencoba menghalau.",neutral
Patyynama kemana gak ada,negative
"ＧＡ ＲＵＤ Ａ Ｈ ＯＫ1 ,BONUS GARANSI 100%",neutral
@s.pattynama love you❤️,positive
❤️❤️❤️❤️❤️❤️❤️❤️,positive
@lilikslm lu bedua main aja dah,neutral
🔥👏👏👏👏,positive
@jeongseokseo,neutral
"Jgn pernah berputus asa,kalian Sdh Luar Biasa Sampai di titik ini😍 terima kasih Sdh membuat Sejarah Baru garuda😍",positive
next japan 🔥,positive
@jerhemynemo mahkota mu lagi diaduk semen king,negative
Kalu mainnya kayak gini pasti bisa main imbang sma Jepang semangat Garuda,positive
Ehalah malah baggot yg gak main mentingin asnawi 😢,negative
"Kenapa gak main sendiri aja sih, capek banget sama komen",neutral
"@jordiamat5 ora pantes dinaturalisasi koe lur, blunder koh dadi hobi, wis mbalik Spanyol bae dodol roti keju",negative
"BISMILLAH, YO BISA YO🇮🇩🦅🔥",positive
"Bismillahirrahmanirrahim, kun fayakun. Selamat berjuang timnaskuu🔥",positive
"@raniaaati lah kocak ini momentnya sama ajg siapa yg banding""in sm pildun sih...",negative
MAJU TAK GENTAR,positive
"@mhdiansyh terus Asnawi udah out babak kedua tetap kebobolan 2, yang rusak siapa lagi?",neutral
@nrr__byon bkn mirip lagi 11-12,neutral
"@ikhwanftrhman Astaghfirullah, jangan bohong, hukumnya dosa. Hapus aja komentarnya.",neutral
🔥🔥🔥🔥🔥,neutral
🔥🔥🔥🔥🔥,positive
"Pertandingan penting penentuan, malah main acak-acakan. 🥲",negative
"Ngaur2 , asnawi tahan dulu napa woy😢",negative
@shugauw_jylo123 kita tagih nanti janji pak erick... STY stay..... 👏👏👏,positive
Pokoknya #STYstay permainan Timnas sudah sangat meningkat.,positive
Kan ad sananta kenapa harus sruick lagi?,neutral
Oman 1 - 1 Kry 🔥🔥🔥,neutral
"@brandonhjekshdbdg Terbukti Witan, Egy, Dendi tidak memberikan kontribusi maksimal untuk tim. Next, ganti dan coba pemain lain.",negative
@syahhhajaaa_ sialan malah dagang cok,neutral
@croissantcakee 😭😭😭😭,neutral
Good Job 🔥🔥🔥❤️,positive
🔥,positive
"Seng sabar, seng ikhlas, rapopo rapopo",neutral
🔥🔥,neutral
@octosa2210 score808,neutral
@danilham72 anak emas bang😂,negative
"Kontrak jangka panjang untuk STY, dia memberi harapan untuk Timnas Indonesia ke depan 🔥🔥",positive
🔥🔥🔥,positive
INDONESIA BUTUH RAMADHAN SANANTA,positive
"@egymaulanavikri jgn banyak Gocek brow, ingat ini bukan liga dagelan Indonesia 😏😏",negative
"Sananta, mainkan dong!",neutral
#perpanjangkontraksty,positive
lessss gowww,positive
Tolong kasih tahu Rafael agar tidak terlalu lama memegang bola,neutral
Ternyata bukan walsh @argafrista12,neutral
Here we go shayne🔥🦅,positive
@nisyu_a sabar2 bunn wkwk,neutral
Hokky Caraka jangan dimainin lagi. 😢,negative
🔥🔥,positive
"Gmn ni konsepnya lama"" Kerangka timnas kek aneh... Fano ga dibawa..wings seperti Saddil di coret alasan terlalu lama pegang bola.. Lah dendy yg ga bisa pegang bola sama sekali ga dicoret pu karepmu ji Sumardji",negative
❤️,positive
"Alhamdulillah, jangan pulang dulu, Cak! Kita lolos! Mene latihan maneh! Suwon, Cak @tokotaev makasih",positive
🔥🔥🔥,positive
Tolong Pak Erik perpanjang kontrak AHY 🙏,neutral
"👏Ini Baru Timnas Indo, Layak Menang MLM Ini",positive
@wans_ronie haduh bnyk media berita hoax bg,negative
"@cakrachandrasca udah lah ngab, wassalam aja untuk timnas, ga yakin sih dapat poin, kyk nya bakal jadi juru kunci, di ayam2in jepang iraq sama vietnam",negative
Iraq 6 - 1 Indonesia,negative
Jangan dikasihani dianiaya saja 😢,negative
🔥🔥🔥🔥,neutral
"ga pernah menang lawan nguyen, sekalinya menang di asian cup🔥🔥😍",positive
